timestamp,log_level,message,anomaly
"2025-01-22 19:12:06,713",ERROR,Folder modified: E:\coding\PYTHON\FIM\test\hello,normal
"2025-01-22 19:12:06,713",ERROR,Folder modified: E:\coding\PYTHON\FIM\test\hello\nested_folder,normal
"2025-01-22 19:12:06,713",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test.txt,anomaly
"2025-01-22 19:12:06,713",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test2.txt,anomaly
"2025-01-22 19:12:06,713",WARNING,File added: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,anomaly
"2025-01-24 11:49:52,984",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-01-30 13:34:33,765",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 11:20:46,677",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 11:23:11,537",ERROR,Error while creating Baseline file: cannot access local variable 'directory' where it is not associated with a value,anomaly
"2025-02-07 11:23:11,543",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 11:33:47,200",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 11:38:59,635",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 12:08:08,607",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 12:08:35,087",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 12:11:10,165",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 12:15:10,133",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-07 12:22:15,053",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 12:57:51,452",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 12:59:59,336",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 13:03:56,674",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 13:07:17,282",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 13:07:52,520",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 13:08:00,057",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 13:08:06,540",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:35:05,833",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:37:35,130",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:38:08,796",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:39:48,243",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:41:31,561",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:44:02,961",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:44:18,275",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:44:39,783",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:46:44,230",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:47:01,173",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:54:11,648",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
"2025-02-12 14:56:42,087",ERROR,File modified: E:\coding\PYTHON\FIM\test\hello\nested_folder\test3.txt,normal
